Energy(eV)	cross section (m-2)					
	(1) E + AR > E + AR	(2)  E + AR > AR* + E	(3) E + AR > AR* + E	(4) E + AR > AR^ + E + E	(5) E + AR* > AR^ + E + E	(6)  E + AR* > AR + E
1.600000E-04	9.912000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.052530E-21
1.700000E-04	9.906500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.014060E-21
1.800000E-04	9.901000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.976700E-21
1.900000E-04	9.895500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.939510E-21
2.000000E-04	9.890000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.903390E-21
2.100000E-04	9.884500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.867420E-21
2.200000E-04	9.879000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.832490E-21
2.300000E-04	9.873500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.797680E-21
2.400000E-04	9.868000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.763870E-21
2.500000E-04	9.862500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.730170E-21
2.600000E-04	9.857000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.697430E-21
2.700000E-04	9.851500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.664780E-21
2.800000E-04	9.846000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.633070E-21
2.900000E-04	9.840500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.601420E-21
3.000000E-04	9.835000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.570690E-21
3.100000E-04	9.829500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.540000E-21
3.200000E-04	9.824000E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.510200E-21
3.300000E-04	9.818500E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.480430E-21
