Time x_Exact v_Exact v_Exact_half x_FD v_FD x_LF v_LF
4.12598 0.455084 1.11897 1.12761 0.49117 1.21256 0.455265 1.1275
4.15039 0.482184 1.1009 1.11007 0.520774 1.19363 0.482363 1.10995
4.1748 0.50883 1.0818 1.09148 0.549915 1.17355 0.509007 1.09135
4.19922 0.534998 1.06167 1.07186 0.578566 1.15235 0.535172 1.07173
4.22363 0.560662 1.04055 1.05124 0.6067 1.13004 0.560834 1.05109
4.24805 0.585798 1.01845 1.02962 0.634289 1.10665 0.585968 1.02947
4.27246 0.610383 0.99539 1.00704 0.661306 1.0822 0.61055 1.00688
4.29688 0.634393 0.971394 0.983508 0.687727 1.0567 0.634557 0.983343
4.32129 0.657807 0.946482 0.959051 0.713526 1.03019 0.657967 0.958878
4.3457 0.680601 0.920681 0.933691 0.738677 1.00268 0.680758 0.933512
4.37012 0.702755 0.894012 0.907453 0.763156 0.974202 0.702908 0.907266
4.39453 0.724247 0.866502 0.880361 0.786941 0.94478 0.724396 0.880167
4.41895 0.745058 0.838177 0.85244 0.810006 0.914441 0.745203 0.852239
4.44336 0.765167 0.809063 0.823717 0.832332 0.883213 0.765308 0.823509
4.46777 0.784557 0.779187 0.794218 0.853895 0.851124 0.784693 0.794004
4.49219 0.803208 0.748578 0.763972 0.874674 0.818203 0.803339 0.763752
4.5166 0.821103 0.717264 0.733007 0.89465 0.784482 0.82123 0.732781
4.54102 0.838225 0.685276 0.701352 0.913802 0.74999 0.838347 0.70112
4.56543 0.854558 0.652642 0.669038 0.932112 0.71476 0.854675 0.668799
4.58984 0.870087 0.619394 0.636093 0.949562 0.678824 0.870198 0.635848
4.61426 0.884797 0.585563 0.60255 0.966135 0.642216 0.884903 0.602299
4.63867 0.898674 0.551181 0.568439 0.981814 0.604968 0.898775 0.568184
4.66309 0.911706 0.516281 0.533794 0.996584 0.567116 0.9118 0.533533
4.6875 0.92388 0.480894 0.498646 1.01043 0.528695 0.923968 0.49838
4.71191 0.935184 0.445055 0.463029 1.02334 0.48974 0.935266 0.462758
4.73633 0.945607 0.408797 0.426976 1.03529 0.450287 0.945683 0.426701
4.76074 0.955141 0.372154 0.390522 1.04629 0.410373 0.955211 0.390242
4.78516 0.963776 0.335161 0.353699 1.05631 0.370035 0.963839 0.353416
4.80957 0.971504 0.297853 0.316544 1.06534 0.329311 0.97156 0.316257
4.83398 0.978317 0.260264 0.279091 1.07338 0.288239 0.978367 0.2788
4.8584 0.98421 0.22243 0.241375 1.08042 0.246857 0.984252 0.241081
4.88281 0.989177 0.184387 0.203432 1.08644 0.205203 0.989212 0.203135
4.90723 0.993212 0.14617 0.165298 1.09145 0.163318 0.99324 0.164998
4.93164 0.996313 0.107816 0.127008 1.09544 0.121239 0.996333 0.126705
4.95605 0.998476 0.0693604 0.0885987 1.0984 0.0790059 0.998489 0.0882932
4.98047 0.999699 0.0308394 0.0501058 1.10033 0.0366591 0.999705 0.0497983
5.00488 0.999981 -0.00771058 0.0115658 1.10122 -0.00576205 0.99998 0.0112566
5.0293 0.999322 -0.0462533 -0.0269851 1.10108 -0.0482177 0.999313 -0.0272958
5.05371 0.997723 -0.0847525 -0.0655106 1.09991 -0.090668 0.997706 -0.0658225
5.07812 0.995185 -0.123172 -0.103974 1.09769 -0.133073 0.99516 -0.104287
5.10254 0.99171 -0.161475 -0.14234 1.09444 -0.175392 0.991677 -0.142654
5.12695 0.987301 -0.199627 -0.180573 1.09016 -0.217587 0.987261 -0.180886
5.15137 0.981964 -0.237591 -0.218635 1.08485 -0.259616 0.981916 -0.218948
5.17578 0.975702 -0.275331 -0.256491 1.07851 -0.30144 0.975646 -0.256804
5.2002 0.968522 -0.312812 -0.294106 1.07115 -0.34302 0.968458 -0.294418
5.22461 0.960431 -0.349998 -0.331444 1.06278 -0.384317 0.960359 -0.331755
5.24902 0.951435 -0.386855 -0.36847 1.0534 -0.42529 0.951355 -0.36878
5.27344 0.941544 -0.423348 -0.405149 1.04301 -0.465902 0.941456 -0.405458
5.29785 0.930767 -0.459443 -0.441447 1.03164 -0.506113 0.930671 -0.441754
5.32227 0.919114 -0.495105 -0.47733 1.01928 -0.545886 0.91901 -0.477634
5.34668 0.906596 -0.530301 -0.512763 1.00595 -0.585182 0.906484 -0.513065
5.37109 0.893224 -0.564998 -0.547714 0.991667 -0.623965 0.893105 -0.548013
5.39551 0.879012 -0.599164 -0.582149 0.976434 -0.662197 0.878885 -0.582445
5.41992 0.863973 -0.632765 -0.616037 0.960267 -0.699842 0.863838 -0.616329
5.44434 0.84812 -0.665771 -0.649344 0.943181 -0.736863 0.847978 -0.649632
5.46875 0.83147 -0.69815 -0.682041 0.925191 -0.773226 0.83132 -0.682325
5.49316 0.814036 -0.729872 -0.714095 0.906314 -0.808895 0.813879 -0.714375
5.51758 0.795837 -0.760908 -0.745478 0.886565 -0.843836 0.795672 -0.745752
5.54199 0.776888 -0.791227 -0.776158 0.865964 -0.878016 0.776716 -0.776428
5.56641 0.757209 -0.820801 -0.806109 0.844528 -0.911401 0.75703 -0.806373
5.59082 0.736817 -0.849603 -0.8353 0.822277 -0.94396 0.73663 -0.835559
5.61523 0.715731 -0.877605 -0.863706 0.799231 -0.975662 0.715538 -0.863958
5.63965 0.693971 -0.904782 -0.891299 0.775411 -1.00647 0.693771 -0.891544
5.66406 0.671559 -0.931107 -0.918052 0.750839 -1.03637 0.671352 -0.918291
5.68848 0.648514 -0.956555 -0.943942 0.725537 -1.06532 0.648301 -0.944174
5.71289 0.624859 -0.981103 -0.968943 0.699528 -1.09329 0.62464 -0.969168
5.7373 0.600616 -1.00473 -0.993033 0.672837 -1.12026 0.60039 -0.99325
5.76172 0.575808 -1.02741 -1.01619 0.645487 -1.1462 0.575576 -1.0164
5.78613 0.550458 -1.04912 -1.03839 0.617503 -1.17108 0.55022 -1.03859
5.81055 0.52459 -1.06984 -1.05961 0.588912 -1.19489 0.524346 -1.0598
5.83496 0.498228 -1.08956 -1.07983 0.55974 -1.21759 0.497978 -1.08001
5.85938 0.471397 -1.10825 -1.09904 0.530014 -1.23917 0.471142 -1.09921
5.88379 0.444122 -1.1259 -1.11721 0.499761 -1.25961 0.443862 -1.11738
5.9082 0.41643 -1.14249 -1.13433 0.469008 -1.27887 0.416165 -1.13449
5.93262 0.388345 -1.15801 -1.15039 0.437786 -1.29696 0.388076 -1.15053
5.95703 0.359895 -1.17243 -1.16536 0.406122 -1.31383 0.359621 -1.1655
5.98145 0.331106 -1.18575 -1.17923 0.374046 -1.32949 0.330828 -1.17936
6.00586 0.302006 -1.19796 -1.192 0.341588 -1.34391 0.301724 -1.19211
6.03027 0.272621 -1.20904 -1.20364 0.308777 -1.35708 0.272335 -1.20375
6.05469 0.24298 -1.21898 -1.21415 0.275645 -1.36899 0.242691 -1.21425
6.0791 0.21311 -1.22777 -1.22352 0.242223 -1.37961 0.212818 -1.2236
6.10352 0.18304 -1.23541 -1.23173 0.208541 -1.38895 0.182744 -1.23181
6.12793 0.152797 -1.24188 -1.23879 0.174631 -1.39699 0.152499 -1.23885
6.15234 0.122411 -1.24719 -1.24468 0.140525 -1.40372 0.12211 -1.24473
6.17676 0.091909 -1.25132 -1.2494 0.106254 -1.40914 0.0916058 -1.24944
6.20117 0.0613207 -1.25427 -1.25294 0.0718513 -1.41324 0.0610157 -1.25297
6.22559 0.0306748 -1.25605 -1.25531 0.0373484 -1.41601 0.0303681 -1.25532
6.25 3.06162e-16 -1.25664 -1.25649 0.00277793 -1.41745 -0.000308052 -1.2565
6.27441 -0.0306748 -1.25605 -1.25649 -0.0318277 -1.41756 -0.0309839 -1.25648
6.29883 -0.0613207 -1.25427 -1.25531 -0.066436 -1.41633 -0.0616306 -1.25529
6.32324 -0.091909 -1.25132 -1.25294 -0.101014 -1.41377 -0.0922193 -1.25291
6.34766 -0.122411 -1.24719 -1.2494 -0.13553 -1.40987 -0.122721 -1.24936
6.37207 -0.152797 -1.24188 -1.24468 -0.169951 -1.40465 -0.153108 -1.24463
6.39648 -0.18304 -1.23541 -1.23879 -0.204244 -1.39809 -0.18335 -1.23872
6.4209 -0.21311 -1.22777 -1.23173 -0.238377 -1.39022 -0.21342 -1.23165
6.44531 -0.24298 -1.21898 -1.22352 -0.272318 -1.38103 -0.243288 -1.22343
6.46973 -0.272621 -1.20904 -1.21415 -0.306035 -1.37053 -0.272928 -1.21405
6.49414 -0.302006 -1.19796 -1.20364 -0.339495 -1.35873 -0.302311 -1.20352
6.51855 -0.331106 -1.18575 -1.192 -0.372667 -1.34564 -0.331409 -1.19187
6.54297 -0.359895 -1.17243 -1.17923 -0.40552 -1.33128 -0.360196 -1.17909
6.56738 -0.388345 -1.15801 -1.16536 -0.438022 -1.31564 -0.388643 -1.16521
6.5918 -0.41643 -1.14249 -1.15039 -0.470142 -1.29876 -0.416725 -1.15022
6.61621 -0.444122 -1.1259 -1.13433 -0.50185 -1.28063 -0.444414 -1.13416
6.64062 -0.471397 -1.10825 -1.11721 -0.533115 -1.26128 -0.471685 -1.11702
6.66504 -0.498228 -1.08956 -1.09904 -0.563908 -1.24073 -0.498512 -1.09884
6.68945 -0.52459 -1.06984 -1.07983 -0.594199 -1.21899 -0.52487 -1.07962
6.71387 -0.550458 -1.04912 -1.05961 -0.62396 -1.19608 -0.550734 -1.05938
6.73828 -0.575808 -1.02741 -1.03839 -0.653161 -1.17203 -0.57608 -1.03815
6.7627 -0.600616 -1.00473 -1.01619 -0.681775 -1.14684 -0.600883 -1.01594
6.78711 -0.624859 -0.981103 -0.993033 -0.709774 -1.12056 -0.625121 -0.992775
6.81152 -0.648514 -0.956555 -0.968943 -0.737131 -1.0932 -0.64877 -0.968675
6.83594 -0.671559 -0.931107 -0.943942 -0.763821 -1.06478 -0.671809 -0.943663
6.86035 -0.693971 -0.904782 -0.918052 -0.789816 -1.03533 -0.694215 -0.917763
6.88477 -0.715731 -0.877605 -0.891299 -0.815093 -1.00488 -0.715968 -0.890998
6.90918 -0.736817 -0.849603 -0.863706 -0.839626 -0.973454 -0.737047 -0.863396
6.93359 -0.757209 -0.820801 -0.8353 -0.863392 -0.941084 -0.757432 -0.83498
6.95801 -0.776888 -0.791227 -0.806109 -0.886368 -0.907798 -0.777104 -0.805779
6.98242 -0.795837 -0.760908 -0.776158 -0.908531 -0.873625 -0.796045 -0.775819
7.00684 -0.814036 -0.729872 -0.745478 -0.92986 -0.838599 -0.814237 -0.745129
7.03125 -0.83147 -0.69815 -0.714095 -0.950333 -0.80275 -0.831662 -0.713737
7.05566 -0.84812 -0.665771 -0.682041 -0.969931 -0.766111 -0.848305 -0.681674
7.08008 -0.863973 -0.632765 -0.649344 -0.988635 -0.728717 -0.864149 -0.648969
7.10449 -0.879012 -0.599164 -0.616037 -1.00643 -0.690602 -0.879179 -0.615654
7.12891 -0.893224 -0.564998 -0.582149 -1.02329 -0.651802 -0.893382 -0.581759
7.15332 -0.906596 -0.530301 -0.547714 -1.0392 -0.612351 -0.906744 -0.547316
7.17773 -0.919114 -0.495105 -0.512763 -1.05415 -0.572286 -0.919253 -0.512358
7.20215 -0.930767 -0.459443 -0.47733 -1.06812 -0.531645 -0.930897 -0.476918
7.22656 -0.941544 -0.423348 -0.441447 -1.0811 -0.490466 -0.941664 -0.441029
7.25098 -0.951435 -0.386855 -0.405149 -1.09308 -0.448786 -0.951545 -0.404725
7.27539 -0.960431 -0.349998 -0.36847 -1.10403 -0.406645 -0.96053 -0.36804
7.2998 -0.968522 -0.312812 -0.331444 -1.11396 -0.364081 -0.968612 -0.331008
7.32422 -0.975702 -0.275331 -0.294106 -1.12285 -0.321134 -0.975781 -0.293665
7.34863 -0.981964 -0.237591 -0.256491 -1.13069 -0.277845 -0.982032 -0.256046
7.37305 -0.987301 -0.199627 -0.218635 -1.13747 -0.234253 -0.987359 -0.218186
7.39746 -0.99171 -0.161475 -0.180573 -1.14319 -0.1904 -0.991757 -0.18012
7.42188 -0.995185 -0.123172 -0.14234 -1.14784 -0.146326 -0.995221 -0.141884
7.44629 -0.997723 -0.0847525 -0.103974 -1.15141 -0.102074 -0.997748 -0.103516
7.4707 -0.999322 -0.0462533 -0.0655106 -1.1539 -0.0576829 -0.999336 -0.0650493
7.49512 -0.999981 -0.00771058 -0.0269851 -1.15531 -0.0131963 -0.999983 -0.0265218
7.51953 -0.999699 0.0308394 0.0115658 -1.15563 0.0313446 -0.99969 0.0120307
7.54395 -0.998476 0.0693604 0.0501058 -1.15487 0.075898 -0.998455 0.0505719
7.56836 -0.996313 0.107816 0.0885987 -1.15302 0.120422 -0.996281 0.0890655
